rank,designation,ra_value,dec_value,w1mpro_value,w2mpro_value,w1_w2_color,pm_total,ml_ensemble_score,if_score
429,J204417.47-222830.7,311.0728275,-22.4751985,16.626,14.477,2.149000000000001,276.3277040037788,0.25631523916655075,-0.010396272994140476
430,J025836.71-154845.7,44.6529737,-15.8127193,17.096,15.022,2.074,741.5692819959576,0.25597348296678885,-0.010533321784823746
431,J154742.24-750004.8,236.92602,-75.0013409,16.449,14.247,2.2020000000000017,745.3811105736447,0.25583584026932993,-0.010588518340866548
432,J030940.60-652123.2,47.4191836,-65.3564582,16.859,14.933,1.926000000000002,883.6249204272139,0.2558031283745195,-0.010601636246636348
433,J073254.13-540607.8,113.2255447,-54.1021881,16.653,14.268,2.384999999999998,442.40479201744637,0.25567383442860825,-0.010653484842044869
434,J073647.70-715147.1,114.1987625,-71.8630851,14.471,12.953,1.5180000000000007,221.06333933965624,0.2555731839405927,-0.010693847029106363
435,J195322.08+814037.3,298.3420172,81.6770469,16.998,14.864,2.1340000000000003,250.83261350948763,0.25542650192819555,-0.010752668470906168
436,J045617.74-201430.6,74.0739367,-20.2418483,17.071,14.926,2.1450000000000014,82.34682750416071,0.2552570212170581,-0.010820632494738691
437,J153555.38+264338.8,233.9807663,26.7274562,16.886,14.73,2.155999999999999,193.82982226685345,0.2545477080703502,-0.011105076519572155
438,J034704.12-412632.6,56.7671878,-41.4424052,16.823,14.53,2.293000000000001,249.07027120874943,0.25451606536928756,-0.011117765664399981
439,J124915.41+324357.2,192.3142251,32.732575,13.02,11.367,1.6529999999999987,302.97854709533476,0.2541636555804791,-0.011259086686271125
440,J035906.83-562936.4,59.7784904,-56.4934607,17.272,15.513,1.7589999999999986,166.0903368652132,0.25396064591184075,-0.011340496268901323
441,J212916.53-112337.7,322.3189148,-11.393815,15.191,12.839,2.3520000000000003,110.64357188738983,0.25395677593748867,-0.011342048180191577
442,J051643.51-291150.6,79.1813007,-29.1974153,16.281,13.952,2.328999999999999,495.99697579723204,0.2536517383440271,-0.011464372320400207
443,J045500.95-423408.8,73.7539745,-42.569128,17.105,15.189,1.9160000000000004,801.4617894821936,0.25363218811427446,-0.011472212223076594
444,J041107.94-603207.3,62.7831004,-60.5353673,16.818,15.085,1.7330000000000005,608.547450902557,0.2532851942615383,-0.01161136138240465
445,J091130.70-345004.3,137.8779425,-34.8345497,16.515,14.066,2.449,605.9249128398667,0.2532699491082625,-0.011617474892040125
446,J082401.53-254914.6,126.0063815,-25.8207257,15.249,13.031,2.218,315.74831749353785,0.25305347012370794,-0.011704285849858054
447,J030239.26-770753.6,45.6636041,-77.1315624,16.938,15.136,1.8019999999999996,646.2197768561405,0.25247881419457957,-0.011934730535867799
448,J152115.75+385057.4,230.3156341,38.8492841,17.218,15.307,1.9109999999999996,386.46345234704927,0.2523476470711826,-0.01198733030041188
449,J012337.60+332341.2,20.9066766,33.3947857,16.082,13.728,2.354000000000001,248.51961693194363,0.25218576629914924,-0.012052246647379417
450,J013246.38+261816.5,23.1932501,26.3045896,15.782,13.323,2.4589999999999996,137.7679207943562,0.2515370937945,-0.012312372966590601
451,J043454.85+314236.9,68.728545,31.710267,16.197,14.512,1.6849999999999987,880.1840716577414,0.251321194523132,-0.012398951451694895
452,J054648.27-644800.9,86.701128,-64.8002709,16.474,14.04,2.434000000000001,193.43732835210477,0.2513182904157427,-0.012400116037460995
453,J014011.34+432220.7,25.0472829,43.3724333,16.295,13.866,2.429000000000002,192.75113488641253,0.25080319732214285,-0.012606675232630982
454,J235613.13-361644.6,359.0547298,-36.2790742,16.256,14.601,1.6549999999999994,938.9723105608599,0.250631498349134,-0.012675528809036662
455,J002726.01-451213.2,6.8584004,-45.2036755,14.053,12.54,1.5130000000000017,331.41213013406735,0.2503574062746434,-0.012785443383727557
456,J042453.78+305258.4,66.2241234,30.8829067,14.063,11.777,2.2860000000000014,473.97046321474505,0.25020036703294973,-0.012848418212505874
457,J061437.28-092155.7,93.6553583,-9.3654765,15.57,13.853,1.7170000000000005,137.84411485442533,0.250009845804017,-0.012924819764380924
458,J111753.93+354652.1,169.4747418,35.7811577,16.973,15.138,1.834999999999999,718.3905622988098,0.24984397135088748,-0.012991337630691713
459,J033417.36+150200.4,53.5723368,15.0334599,16.265,13.895,2.370000000000001,698.7653397242883,0.24977907682354397,-0.013017361201004662
460,J185010.61+113311.3,282.5442277,11.5531583,13.516,11.813,1.7029999999999994,204.41379601191306,0.24974979238889283,-0.013029104649572909
461,J151925.13+574444.7,229.8547287,57.745771,16.223,14.643,1.5799999999999983,800.466114210964,0.24943104094089286,-0.013156928228215736
462,J040812.55-522213.9,62.0523053,-52.37054,17.235,15.365,1.8699999999999992,442.06899913927464,0.2493791592847195,-0.01317773346376716
463,J093730.45+754515.7,144.3768893,75.7543865,14.804,12.387,2.417,417.2780847348684,0.24932838114681455,-0.013198096173786367
464,J133223.89-204009.5,203.0995589,-20.6693228,16.317,13.936,2.3810000000000002,386.4052277079077,0.24863773448816684,-0.013475054688139754
